BLS_2_Countries_(SRES)_ABBREVNAME,Fips_code,ISO3v10,WH_2000,RI_2000,MZ_2000,WHA1F2020,RIA1F2020,MZA1F2020,ActChWHA1F2020,ActChRIAIF2020,ActChMZA1F2020,WHA1F2050,RIA1F2050,MZA1F2050,ActChWHA1F2050,ActChRIAIF2050,ActChMZA1F2050,WHA1F2080,RIA1F2080,MZA1F2080,ActChWHA1F2080,ActChRIAIF2080,ActChMZA1F2080,WHA2a2020,RIA2a2020,MZA2a2020,ActChWHA2a2020,ActChRIA2a2020,ActChMZA2a2020,WHA2a2050,RIA2a2050,MZA2a2050,ActChWHA2a2050,ActChRIA2a2050,ActChMZA2a2050,WHA2a2080,RIA2a2080,MZA2a2080,ActChWHA2a2080,ActChRIA2a2080,ActChMZA2a2080,WHA2b2020,RIA2b2020,MZA2b2020,ActCHWHA2b2020,ActChRIA2b2020,ActChMZA2b2020,WHA2b2050,RIA2b2050,MZA2b2050,ActCHWHA2b2050,ActChRIA2b2050,ActChMZA2b2050,WHA2b2080,RIA2b2080,MZA2b2080,ActChWHA2b2080,ActChRIA2b2080,ActChMZA2b2080,WHA2c2020,RIA2c2020,MZA2c2020,ActChWHA2c2020,ActChRIA2c2020,ActChMZA2c2020,WHA2c2050,RIA2c2050,MZA2c2050,ActChWHA2c2050,ActChRIA2c2050,ActChMZA2c2050,WHA2c2080,RIA2c2080,MZA2c2080,ActChWHA2c2080,ActChRIA2c2080,ActChMZA2c2080,WHB1a2020,RIB1a2020,MZB1a2020,ActChWHB1a2020,ActChRIB1a2020,ActChMZB1a2020,WHB1a2050,RIB1a2050,MZB1a2050,ActChWHB1a2050,ActChRIB1a2050,ActChMZB1a2050,WHB1a2080,RIB1a2080,MZB1a2080,ActChWHB1a2080,ActChRIB1a2080,ActChMZB1a2080,WHB2a2020,RIB2a2020,MZB2a2020,ActChWHB2a2020,ActChRIB2a2020,ActChMZB2a2020,WHB2a2050,RIB2a2050,MZB2a2050,ActChWHB2a2050,ActChRIB2a2050,ActChMZB2a2050,WHB2a2080,RIB2a2080,MZB2a2080,ActChWHB2a2080,ActChRIB2a2080,ActChMZB2a2080,WHB2b2020,RIB2b2020,MZB2b2020,ActChWHB2b2020,ActChRIB2b2020,ActChMZB2b2020,WHB2b2050,RIB2b2050,MZB2b2050,ActChWHB2b2050,ActChRIB2b2050,ActChMZB2b2050,WHB2b2080,RIB2b2080,MZB2b2080,ActChWHB2b2080,ActChRIB2b2080,ActChMZB2b2080,COUNTRY,WH%GR,RI%GR,MZ%GR,A1FI2020,A1FI2050,A1FI2080,A2A2020,A2A2050,A2A2080,A2B2020,A2B2050,A2B2080,A2C2020,A2C2050,A2C2080,B1A2020,B1A2050,B1A2080,B2A2020,B2A2050,B2A2080,B2B2020,B2B2050,B2B2080
Afghanistan,AF,AFG,2750142.86,337285.71,265285.71,-1.22,-3.22,-5.54,,,,-4.76,-5.76,-12.84,,,,-13.58,-14.58,-19.81,,,,-0.74,-2.74,-5.44,,,,-1.24,-3.24,-9.84,,,,-5.64,-6.64,-15.46,,,,-0.56,-2.56,-5.03,,,,-0.87,-2.87,-9.31,,,,-4.34,-5.34,-14.18,,,,-0.99,-2.99,-5.36,,,,-0.15,-2.15,-9.02,,,,-5.01,-6.01,-15.39,,,,-0.87,-2.87,-5.08,,,,-1.68,-2.68,-8.34,,,,-3.28,-6.28,-11.02,,,,-2.24,-4.24,-7.11,,,,-4.26,-5.26,-10.85,,,,-4.74,-5.74,-12.65,,,,-1.54,-3.54,-6.03,,,,-2.03,-3.03,-8.66,,,,-9.47,-10.47,-17.79,,,,Afghanistan,78.87,10.42,10.71,-0.63,-1.91,-4.78,-0.48,-0.79,-2.26,-0.42,-0.66,-1.83,-0.56,-0.43,-2.08,-0.51,-0.83,-1.48,-0.99,-1.69,-1.90,-0.74,-0.95,-3.49
Alaska (same as Canada),02,USA,,,,6.53,4.53,-0.03,,,,3.19,2.19,2.69,,,,1.45,0.45,4.16,,,,2.52,0.52,0.10,,,,8.45,6.45,2.18,,,,7.62,6.62,3.51,,,,5.81,3.81,-0.19,,,,5.58,3.58,1.97,,,,-0.67,-1.67,4.68,,,,1.13,-0.87,-0.05,,,,7.15,5.15,-0.06,,,,10.49,9.49,1.65,,,,2.81,0.81,-1.46,,,,4.44,3.44,-0.29,,,,3.53,0.53,-0.78,,,,1.62,-0.38,-0.65,,,,4.50,3.50,-0.48,,,,5.28,4.28,2.66,,,,2.98,0.98,-0.71,,,,1.56,0.56,-0.26,,,,2.39,1.39,1.92,,,,Alaska,79.80,0.00,20.20,1.74,1.03,0.67,0.68,2.39,2.26,1.53,1.62,0.14,0.30,1.90,2.90,0.65,1.16,0.89,0.39,1.17,1.58,0.75,0.40,0.77
Albania,AL,ALB,274685.71,,212814.29,4.19,2.19,-1.68,11520.95,0.00,-3569.77,9.28,8.28,-1.37,25495.58,0.00,-2923.45,7.48,6.48,1.19,20558.22,0.00,2533.46,5.67,3.67,-1.16,15561.69,0.00,-2469.51,9.20,7.20,-1.32,25280.42,0.00,-2802.89,13.14,12.14,0.45,36088.97,0.00,954.22,3.49,1.49,-0.72,9582.19,0.00,-1541.57,8.92,6.92,-1.66,24492.33,0.00,-3522.99,13.15,12.15,0.77,36128.93,0.00,1630.38,3.34,1.34,-1.48,9185.72,0.00,-3144.24,9.07,7.07,-1.81,24922.26,0.00,-3852.34,13.51,12.51,0.44,37113.86,0.00,945.33,1.61,-0.39,-1.71,4414.32,0.00,-3648.22,5.28,4.28,-2.83,14506.35,0.00,-6024.82,6.86,3.86,-3.21,18853.24,0.00,-6830.15,3.66,2.31,-2.60,10043.74,0.00,-5538.38,5.13,4.13,-3.19,14090.62,0.00,-6790.26,7.24,6.24,-1.42,19897.60,0.00,-3014.15,3.16,1.16,-2.55,8675.75,0.00,-5416.34,5.50,4.50,-3.13,15105.23,0.00,-6658.51,8.85,7.85,-1.35,24319.93,0.00,-2865.25,Albania,55.83,0.08,44.09,0.53,1.53,1.57,0.88,1.52,2.51,0.54,1.42,2.56,0.41,1.42,2.58,0.05,0.57,0.81,0.30,0.49,1.14,0.21,0.56,1.45
Algeria,AG,DZA,2157083.86,300.00,1249.14,1.35,-0.65,-4.30,,,,-1.59,-2.59,-10.76,,,,-20.10,-21.10,-22.56,,,,0.91,-1.09,-5.49,,,,0.71,-1.29,-9.48,,,,-9.00,-10.00,-17.64,,,,1.56,-0.44,-4.37,,,,1.66,-0.34,-8.23,,,,-6.05,-7.05,-14.73,,,,1.87,-0.13,-3.87,,,,2.76,0.76,-8.00,,,,-7.10,-8.10,-16.86,,,,0.35,-1.65,-5.06,,,,0.71,-0.29,-7.61,,,,-0.65,-3.65,-10.12,,,,-0.86,-2.86,-7.59,,,,-2.62,-3.62,-10.80,,,,-4.79,-5.79,-13.62,,,,0.25,-1.75,-5.74,,,,0.14,-0.86,-8.12,,,,-10.27,-11.27,-19.91,,,,Algeria,99.93,0.05,0.01,0.45,-0.53,-6.70,0.30,0.24,-3.00,0.52,0.55,-2.02,0.62,0.92,-2.37,0.11,0.24,-0.22,-0.29,-0.87,-1.60,0.08,0.05,-3.42
Angola,AO,AGO,4000.00,7791.57,543685.29,1.35,-0.65,-4.30,,,,-1.59,-2.59,-10.76,,,,-20.10,-21.10,-22.56,,,,0.91,-1.09,-5.49,,,,0.71,-1.29,-9.48,,,,-9.00,-10.00,-17.64,,,,1.56,-0.44,-4.37,,,,1.66,-0.34,-8.23,,,,-6.05,-7.05,-14.73,,,,1.87,-0.13,-3.87,,,,2.76,0.76,-8.00,,,,-7.10,-8.10,-16.86,,,,0.35,-1.65,-5.06,,,,0.71,-0.29,-7.61,,,,-0.65,-3.65,-10.12,,,,-0.86,-2.86,-7.59,,,,-2.62,-3.62,-10.80,,,,-4.79,-5.79,-13.62,,,,0.25,-1.75,-5.74,,,,0.14,-0.86,-8.12,,,,-10.27,-11.27,-19.91,,,,Angola,1.17,5.84,92.99,-1.34,-3.39,-7.48,-1.72,-2.96,-5.70,-1.36,-2.55,-4.73,-1.20,-2.45,-5.41,-1.60,-2.36,-3.21,-2.41,-3.43,-4.35,-1.81,-2.53,-6.43
Argentina,AR,ARG,14503088.71,914794.86,15968048.57,3.42,1.42,-5.08,496591.53,13027.04,-811073.14,11.30,10.30,-7.15,1638314.23,94190.14,-1141093.40,0.02,-0.98,-8.77,3171.29,-8947.92,-1400587.18,10.15,8.15,-6.84,1471534.83,74522.43,-1091776.61,9.87,7.87,-9.14,1431992.21,72028.25,-1460190.85,9.85,8.85,-11.78,1428064.07,80928.43,-1881784.51,5.51,3.51,-6.48,799338.32,32123.06,-1034347.20,14.64,12.64,-11.32,2123662.72,115655.96,-1808297.49,9.02,8.02,-9.81,1307903.34,73349.19,-1566356.82,3.77,1.77,-3.88,546838.72,16196.43,-618776.27,5.99,3.99,-7.93,868174.30,36464.95,-1266093.65,3.54,2.54,-8.45,513405.25,23235.53,-1349581.58,2.12,0.12,-4.23,306870.58,1060.23,-675610.59,4.47,3.47,-7.18,648163.52,31735.53,-1146539.93,6.30,3.30,-11.80,913539.72,30178.46,-1884086.94,3.44,1.44,-4.30,499482.49,13209.39,-686440.00,8.28,7.28,-8.87,1200772.46,66591.81,-1417002.78,7.23,6.23,-10.29,1049012.51,57019.42,-1642899.22,3.55,1.55,-7.05,514224.87,14139.28,-1124995.54,1.29,0.29,-8.20,186578.30,2620.64,-1309192.31,9.86,8.86,-11.56,1430202.42,81063.31,-1846457.47,Argentina,58.21,3.55,38.24,0.03,1.40,-1.13,1.19,0.84,0.51,0.29,1.55,0.59,0.26,0.20,-0.36,-0.13,-0.01,-0.24,0.14,0.56,0.17,-0.19,-0.79,0.54
Armenia,AM,ARM,236083.86,,12146.57,2.69,0.69,-3.07,6339.97,0.00,-372.49,7.36,6.36,-3.70,17385.94,0.00,-448.99,5.79,4.79,-0.75,13663.70,0.00,-91.35,3.64,1.64,-2.80,8600.60,0.00,-339.66,6.94,4.94,-3.47,16375.97,0.00,-421.34,9.90,8.90,-1.63,23379.39,0.00,-197.62,2.14,0.14,-2.02,5060.37,0.00,-245.65,7.27,5.27,-3.84,17157.76,0.00,-466.26,10.83,9.83,-1.36,25560.64,0.00,-164.65,1.60,-0.40,-2.67,3770.57,0.00,-323.77,6.85,4.85,-4.12,16172.00,0.00,-500.96,12.27,11.27,-2.01,28955.88,0.00,-244.43,-0.82,-2.82,-3.27,-1938.91,0.00,-397.52,3.19,2.19,-4.77,7536.05,0.00,-579.68,4.84,1.84,-5.43,11431.34,0.00,-659.79,2.18,0.18,-4.43,5156.97,0.00,-537.79,3.11,2.11,-5.17,7343.39,0.00,-628.29,3.68,2.68,-3.68,8697.44,0.00,-447.38,1.18,-0.82,-3.92,2793.55,0.00,-475.58,3.27,2.27,-5.35,7730.14,0.00,-650.39,7.01,6.01,-3.64,16542.23,0.00,-442.33,Armenia,96.94,0.00,3.06,0.84,2.34,1.86,1.15,2.21,3.18,0.67,2.31,3.48,0.49,2.17,3.94,-0.30,0.98,1.51,0.66,0.95,1.15,0.34,1.00,2.23
Australia,AS,AUS,20069730.43,891258.57,367102.14,2.67,0.54,-0.33,535510.99,4830.62,-1217.85,6.29,6.05,-0.71,1261654.03,53956.79,-2619.81,-0.44,8.95,-10.44,-87518.37,79767.64,-38311.04,1.49,0.60,-1.51,299182.87,5392.11,-5540.61,10.22,4.34,3.22,2050785.32,38698.45,11814.45,8.52,10.65,-2.48,1709179.86,94874.47,-9118.06,3.10,0.07,0.10,621799.70,650.62,360.48,7.29,4.42,0.29,1463963.75,39384.72,1080.70,5.39,11.44,-5.61,1081174.75,101977.81,-20605.11,4.99,0.44,1.99,1001517.45,3894.80,7306.03,8.33,4.99,1.33,1671628.85,44438.15,4879.17,7.05,10.74,-3.95,1414494.69,95685.52,-14508.24,-0.24,-0.17,-3.24,-48342.55,-1524.05,-11897.31,3.46,2.20,-1.54,694820.85,19580.95,-5645.91,4.16,1.16,-1.84,835567.46,10338.60,-6742.48,5.60,-0.23,2.60,1123981.05,-2023.16,9546.05,3.31,2.40,-1.69,664031.52,21381.29,-6209.08,5.54,5.73,-1.46,1112105.65,51095.85,-5355.25,1.26,-0.56,-1.74,252347.41,-4955.40,-6397.29,0.43,2.36,-4.57,86706.53,21006.96,-16769.13,4.86,5.70,-2.14,974539.01,50775.00,-7871.53,Australia,94.89,3.87,1.25,0.85,2.06,-0.07,0.47,3.30,2.82,0.98,2.37,1.83,1.59,2.70,2.35,-0.09,1.12,1.32,1.78,1.07,1.82,0.38,0.15,1.60
Austria,AU,AUT,1430718.14,,1776373.29,4.19,2.19,-1.68,60007.61,0.00,-29797.09,9.28,8.28,-1.37,132795.37,0.00,-24402.21,7.48,6.48,1.19,107078.81,0.00,21146.93,5.67,3.67,-1.16,81054.05,0.00,-20613.10,9.20,7.20,-1.32,131674.67,0.00,-23395.89,13.14,12.14,0.45,187971.72,0.00,7964.93,3.49,1.49,-0.72,49909.43,0.00,-12867.60,8.92,6.92,-1.66,127569.87,0.00,-29406.62,13.15,12.15,0.77,188179.84,0.00,13608.87,3.34,1.34,-1.48,47844.39,0.00,-26245.16,9.07,7.07,-1.81,129809.18,0.00,-32155.71,13.51,12.51,0.44,193309.91,0.00,7890.70,1.61,-0.39,-1.71,22992.26,0.00,-30451.93,5.28,4.28,-2.83,75557.27,0.00,-50289.52,6.86,3.86,-3.21,98198.29,0.00,-57011.65,3.66,2.31,-2.60,52313.46,0.00,-46229.19,5.13,4.13,-3.19,73391.91,0.00,-56678.69,7.24,6.24,-1.42,103637.93,0.00,-25159.29,3.16,1.16,-2.55,45188.18,0.00,-45210.51,5.50,4.50,-3.13,78676.53,0.00,-55578.94,8.85,7.85,-1.35,126671.91,0.00,-23916.43,Austria,41.67,0.00,58.33,0.26,1.02,1.27,0.56,1.02,1.91,0.34,0.92,1.98,0.18,0.91,1.96,-0.11,0.18,0.33,0.00,0.09,0.73,-0.06,0.16,0.97
Azerbaijan,AJ,AZE,1486676.43,13816.43,134517.86,2.69,0.69,-3.07,39924.29,94.71,-4125.17,7.36,6.36,-3.70,109483.42,879.32,-4972.32,5.79,4.79,-0.75,86043.57,661.48,-1011.70,3.64,1.64,-2.80,54160.05,227.01,-3761.59,6.94,4.94,-3.47,103123.37,682.05,-4666.15,9.90,8.90,-1.63,147225.58,1230.08,-2188.56,2.14,0.14,-2.02,31866.33,19.82,-2720.44,7.27,5.27,-3.84,108046.51,727.80,-5163.63,10.83,9.83,-1.36,160961.46,1357.73,-1823.47,1.60,-0.40,-2.67,23744.20,-55.66,-3585.56,6.85,4.85,-4.12,101838.96,670.11,-5547.90,12.27,11.27,-2.01,182342.09,1556.43,-2706.93,-0.82,-2.82,-3.27,-12209.80,-389.80,-4402.38,3.19,2.19,-4.77,47456.28,302.87,-6419.67,4.84,1.84,-5.43,71985.88,254.51,-7306.92,2.18,0.18,-4.43,32474.65,25.47,-5955.76,3.11,2.11,-5.17,46243.06,291.60,-6958.00,3.68,2.68,-3.68,54769.84,370.84,-4954.57,1.18,-0.82,-3.92,17591.65,-112.84,-5266.80,3.27,2.27,-5.35,48678.55,314.23,-7202.82,7.01,6.01,-3.64,104170.38,829.94,-4898.62,Azerbaijan,97.06,1.08,1.86,0.85,2.38,1.88,1.17,2.24,3.23,0.68,2.35,3.53,0.50,2.21,4.00,-0.30,1.01,1.54,0.68,0.98,1.18,0.36,1.03,2.27
